,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
144745,R169,R168,01-00-02,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,629063,464197
144746,R169,R168,01-00-02,96 ST,123,IRT,06/21/2020,01:00:00,REGULAR,629079,464204
144783,R169,R168,01-00-03,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,3287219,3589101
144784,R169,R168,01-00-03,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,3287231,3589109
144785,R169,R168,01-00-03,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,3287253,3589135
144786,R169,R168,01-00-03,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,3287285,3589164
144787,R169,R168,01-00-03,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,3287300,3589182
144788,R169,R168,01-00-03,96 ST,123,IRT,06/21/2020,01:00:00,REGULAR,3287317,3589194
144825,R169,R168,01-00-04,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,825546,1515258
144826,R169,R168,01-00-04,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,825555,1515283
144827,R169,R168,01-00-04,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,825576,1515316
144828,R169,R168,01-00-04,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,825602,1515375
144829,R169,R168,01-00-04,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,825627,1515419
144830,R169,R168,01-00-04,96 ST,123,IRT,06/21/2020,01:00:00,REGULAR,825637,1515429
144867,R169,R168,01-00-05,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,1073316,2250231
144868,R169,R168,01-00-05,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,1073329,2250277
144869,R169,R168,01-00-05,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,1073355,2250333
144870,R169,R168,01-00-05,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,1073394,2250409
144871,R169,R168,01-00-05,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,1073429,2250468
144872,R169,R168,01-00-05,96 ST,123,IRT,06/21/2020,01:00:00,REGULAR,1073448,2250498
144909,R169,R168,01-03-00,96 ST,123,IRT,06/20/2020,05:00:00,REGULAR,4072025,21259527
144910,R169,R168,01-03-00,96 ST,123,IRT,06/20/2020,09:00:00,REGULAR,4072041,21259678
144911,R169,R168,01-03-00,96 ST,123,IRT,06/20/2020,13:00:00,REGULAR,4072078,21259859
144912,R169,R168,01-03-00,96 ST,123,IRT,06/20/2020,17:00:00,REGULAR,4072162,21260073
144913,R169,R168,01-03-00,96 ST,123,IRT,06/20/2020,21:00:00,REGULAR,4072219,21260226
144914,R169,R168,01-03-00,96 ST,123,IRT,06/21/2020,01:00:00,REGULAR,4072249,21260330
